id,name,types,rarity,combiRank,combiDuplicatePriority,maleProbability,breedable,isBoss,isRaidBoss
boss_firekirin_dark,Alpha Pyrin Noct,fire|dark,8,1870,187000,50,false,true,false
boss_flamebambi,Alpha Rooby,fire,5,2870,287000,50,false,true,false
boss_flamebuffalo,Alpha Arsox,fire,7,2320,232000,50,false,true,false
boss_flowerdinosaur,Alpha Dinossom,grass|dragon,8,2100,210000,50,false,true,false
boss_flowerdinosaur_electric,Alpha Dinossom Lux,electric|dragon,8,1890,189000,50,false,true,false
boss_flowerdoll,Alpha Petallia,grass,8,1720,172000,50,false,true,false
boss_flowerdoll_fire,Alpha Petallia Ignis,grass|fire,8,820,82000,50,false,true,false
boss_flowerrabbit,Alpha Flopie,grass,5,2660,266000,50,false,true,false
boss_flyingmanta,Alpha Celaray,water,5,2740,274000,50,false,true,false
boss_foxmage,Alpha Wixen,fire,8,2080,208000,50,false,true,false
boss_foxmage_dark,Alpha Wixen Noct,fire|dark,8,1490,149000,50,false,true,false
boss_ganesha,Alpha Teafant,water,5,3070,307000,50,false,true,false
boss_garm,Alpha Direhowl,normal,5,2680,268000,50,false,true,false
boss_ghostbeast,Alpha Maraith,dark,8,1710,171000,50,false,true,false
boss_goldenhorse,Alpha Gildane,ground,8,730,73000,50,false,true,false
boss_gorilla,Alpha Gorirat,normal,8,2140,214000,50,false,true,false
boss_gorilla_ground,Alpha Gorirat Terra,ground,8,1880,188000,50,false,true,false
boss_grassmammoth,Alpha Mammorest,grass|ground,8,1340,134000,50,false,true,false
boss_grassmammoth_ice,Alpha Mammorest Cryst,ice|ground,8,1070,107000,50,false,true,false
boss_grasspanda,Alpha Mossanda,grass,8,2060,206000,50,false,true,false
boss_grasspanda_electric,Alpha Mossanda Lux,electric,8,1440,144000,50,false,true,false
boss_grassrabbitman,Alpha Verdash,grass,8,1160,116000,50,false,true,false
boss_hadesbird,Alpha Helzephyr,dark,8,1130,113000,50,false,true,false
boss_hadesbird_electric,Alpha Helzephyr Lux,dark|electric,8,960,96000,50,false,true,false
boss_hawkbird,Alpha Nitewing,normal,5,2560,256000,50,false,true,false
boss_hedgehog,Alpha Jolthog,electric,5,3030,303000,50,false,true,false
boss_hedgehog_ice,Alpha Jolthog Cryst,ice,5,2850,285000,50,false,true,false
boss_herculesbeetle,Alpha Warsect,ground|grass,8,1280,128000,85,false,true,false
boss_herculesbeetle_ground,Alpha Warsect Terra,ground,8,630,63000,85,false,true,false
boss_horus,Alpha Faleris,fire,8,500,50000,50,false,true,false
boss_icedeer,Alpha Reindrix,ice,7,1930,193000,50,false,true,false
boss_icefox,Alpha Foxcicle,ice,8,1970,197000,50,false,true,false
boss_icehorse,Alpha Frostallion,ice,8,150,15000,50,false,true,false
boss_icehorse_dark,Alpha Frostallion Noct,dark,8,110,11000,50,false,true,false
boss_jetdragon,Alpha Jetragon,dragon,8,70,7000,50,false,true,false
boss_kelpie,Alpha Kelpsea,water,5,2810,281000,50,false,true,false
boss_kelpie_fire,Alpha Kelpsea Ignis,fire,5,2470,247000,50,false,true,false
boss_kingalpaca,Alpha Kingpaca,normal,8,2220,222000,90,false,true,false
boss_kingalpaca_ice,Alpha Kingpaca Cryst,ice,8,1530,153000,90,false,true,false
boss_kingbahamut,Alpha Blazamut,fire,8,410,41000,50,false,true,false
boss_kingbahamut_dragon,Alpha Blazamut Ryu,dragon|fire,8,100,10000,50,false,true,false
boss_kirin,Alpha Univolt,electric,8,2270,227000,50,false,true,false
boss_kirin_ice,Alpha Univolt Cryst,ice,8,540,54000,50,false,true,false
boss_kitsunebi,Alpha Foxparks,fire,5,2990,299000,50,false,true,false
boss_lavagirl,Alpha Flambelle,fire,5,2700,270000,50,false,true,false
boss_lazycatfish,Alpha Dumud,ground|water,7,2290,229000,50,false,true,false
boss_lazydragon,Alpha Relaxaurus,dragon|water,8,1090,109000,50,false,true,false
boss_lazydragon_electric,Alpha Relaxaurus Lux,dragon|electric,8,770,77000,50,false,true,false
boss_lilyqueen,Alpha Lyleen,grass,8,240,24000,30,false,true,false
boss_lilyqueen_dark,Alpha Lyleen Noct,dark,8,220,22000,30,false,true,false
boss_littlebriarrose,Alpha Bristla,grass,5,2690,269000,50,false,true,false
boss_lizardman,Alpha Leezpunk,dark,5,2670,267000,50,false,true,false
boss_lizardman_fire,Alpha Leezpunk Ignis,fire,5,2640,264000,50,false,true,false
boss_manticore,Alpha Blazehowl,fire,8,1360,136000,50,false,true,false
boss_manticore_dark,Alpha Blazehowl Noct,fire|dark,8,1270,127000,50,false,true,false
boss_monkey,Alpha Tanzee,grass,5,2900,290000,50,false,true,false
boss_monkey_fire,Alpha Tanzee Ignis,fire,5,2830,283000,50,false,true,false
boss_mopbaby,Alpha Swee,ice,5,2840,284000,50,false,true,false
boss_mopking,Alpha Sweepa,ice,8,2150,215000,50,false,true,false
boss_mutant,Alpha Lunaris,normal,8,2010,201000,50,false,true,false
boss_naughtycat,Alpha Grintale,normal,8,2120,212000,50,false,true,false
boss_negativekoala,Alpha Depresso,dark,5,3000,300000,50,false,true,false
boss_negativeoctopus,Alpha Killamari,dark|water,5,2770,277000,50,false,true,false
boss_nightfox,Alpha Nox,dark,8,2920,292000,50,false,true,false
boss_penguin,Alpha Pengullet,water|ice,5,2960,296000,50,false,true,false
boss_pinkcat,Alpha Cattiva,normal,5,2760,276000,50,false,true,false
boss_pinklizard,Alpha Lovander,dark,8,2090,209000,30,false,true,false
boss_pinkrabbit,Alpha Ribbuny,normal,5,2860,286000,50,false,true,false
boss_plantslime,Alpha Gumoss,grass|ground,8,2950,295000,50,false,true,false
boss_plantslime_flower,Alpha Gumoss,grass|ground,8,2950,295000,50,false,true,false
boss_queenbee,Alpha Elizabee,grass,8,1790,179000,10,false,true,false
boss_raijindaughter,Alpha Dazzi,electric,5,2400,240000,20,false,true,false
boss_redarmorbird,Alpha Ragnahawk,fire,8,1050,105000,50,false,true,false
boss_robinhood,Alpha Robinquill,grass,8,2260,226000,50,false,true,false
boss_robinhood_ground,Alpha Robinquill Terra,grass|ground,8,2050,205000,50,false,true,false
boss_ronin,Alpha Bushi,fire,8,1560,156000,50,false,true,false
boss_ronin_dark,Alpha Bushi Noct,fire|dark,8,840,84000,50,false,true,false
boss_saintcentaur,Alpha Paladius,normal,8,180,18000,50,false,true,false
boss_sakurasaurus,Alpha Broncherry,grass,8,1380,138000,50,false,true,false
boss_sakurasaurus_water,Alpha Broncherry Aqua,grass|water,8,1080,108000,50,false,true,false
boss_serpent,Alpha Surfent,water,5,2440,244000,50,false,true,false
boss_serpent_ground,Alpha Surfent Terra,ground,8,1840,184000,50,false,true,false
boss_sharkkid,Alpha Gobfin,water,5,2550,255000,50,false,true,false
boss_sharkkid_fire,Alpha Gobfin Ignis,fire,5,2430,243000,50,false,true,false
boss_sheepball,Alpha Lamball,normal,5,3050,305000,50,false,true,false
boss_skydragon,Alpha Quivern,dragon,8,1210,121000,50,false,true,false
boss_skydragon_grass,Alpha Quivern Botan,dragon|grass,8,1300,130000,50,false,true,false
boss_soldierbee,Alpha Beegarde,grass,7,2350,235000,10,false,true,false
boss_suzaku,Alpha Suzaku,fire,8,1200,120000,50,false,true,false
boss_suzaku_water,Alpha Suzaku Aqua,water,8,740,74000,50,false,true,false
boss_sweetssheep,Alpha Woolipop,normal,5,2820,282000,50,false,true,false
boss_sweetssheep_ground,Alpha Woolipop Terra,ground,7,2030,203000,50,false,true,false
boss_tentacleturtle,Alpha Turtacle,water,5,2410,241000,50,false,true,false
boss_thunderbird,Alpha Beakon,electric,8,1690,169000,50,false,true,false
boss_thunderbird_ice,Alpha Beakon Cryst,ice,8,580,58000,50,false,true,false
boss_thunderdog,Alpha Rayhound,electric,8,1920,192000,50,false,true,false
boss_thunderdog_ice,Alpha Rayhound Cryst,ice,8,1600,160000,50,false,true,false
boss_thunderdragonman,Alpha Orserk,dragon|electric,8,120,12000,50,false,true,false
boss_umihebi,Alpha Jormuntide,dragon|water,8,590,59000,50,false,true,false
boss_umihebi_fire,Alpha Jormuntide Ignis,dragon|fire,8,170,17000,50,false,true,false
boss_violetfairy,Alpha Vaelet,grass,8,1480,148000,50,false,true,false
boss_volcanicmonster,Alpha Reptyro,fire|ground,8,1060,106000,50,false,true,false
boss_volcanicmonster_ice,Alpha Reptyro Cryst,ice|ground,8,600,60000,50,false,true,false
boss_weaseldragon,Alpha Chillet,ice|dragon,7,2330,233000,50,false,true,false
boss_weaseldragon_fire,Alpha Chillet Ignis,fire|dragon,8,1950,195000,50,false,true,false
boss_werewolf,Alpha Loupmoon,dark,7,2110,211000,50,false,true,false
boss_whitemoth,Alpha Sibelyx,ice,8,1810,181000,50,false,true,false
boss_whitemoth_neutral,Alpha Sibelyx Primo,normal,8,650,65000,50,false,true,false
boss_whitetiger,Alpha Cryolinx,ice,8,1040,104000,50,false,true,false
boss_windchimes,Alpha Hangyu,ground,5,2780,278000,50,false,true,false
boss_windchimes_ice,Alpha Hangyu Cryst,ice,7,2510,251000,50,false,true,false
boss_wizardowl,Alpha Hoocrates,dark,5,2940,294000,50,false,true,false
boss_woolfox,Alpha Cremis,normal,5,2890,289000,50,false,true,false
boss_yeti,Alpha Wumpo,ice,8,830,83000,50,false,true,false
boss_yeti_grass,Alpha Wumpo Botan,grass,8,610,61000,50,false,true,false
boss_nightlady,Alpha Bellanoir,dark,8,620,62000,10,false,true,false
boss_nightlady_dark,Alpha Bellanoir Libero,dark,8,130,13000,10,false,true,false
boss_moonqueen,Alpha Selyne,dark|normal,8,360,36000,20,false,true,false
boss_kendofrog,Alpha Croajiro,water,5,2600,260000,50,false,true,false
boss_leafprincess,Alpha Lullu,grass,5,1990,199000,30,false,true,false
boss_mushroomdragon,Alpha Shroomer,grass,5,1520,152000,55,false,true,false
boss_mushroomdragon_dark,Alpha Shroomer Noct,grass|dark,8,1450,145000,50,false,true,false
boss_smallarmadillo,Alpha Kikit,ground,5,2310,231000,50,false,true,false
boss_featherostrich,Alpha Dazemu,ground,8,2210,221000,50,false,true,false
boss_scorpionman,Alpha Prixter,dark|ground,8,1510,151000,50,false,true,false
boss_scorpionman_electric,Alpha Prixter Lux,electric|ground,8,850,85000,50,false,true,false
boss_winggolem,Alpha Knocklem,ground,8,260,26000,70,false,true,false
boss_winggolem_fire,Alpha Knocklem Ignis,fire,8,210,21000,70,false,true,false
boss_candleghost,Alpha Sootseer,dark|fire,8,980,98000,50,false,true,false
boss_guardiandog,Alpha Yakumo,normal,5,2230,223000,50,false,true,false
boss_sifudog,Alpha Dogen,normal,8,1460,146000,50,false,true,false
boss_mimicdog,Alpha Mimog,normal,8,1740,174000,80,false,true,false
boss_darkalien,Alpha Xenovader,dark,8,1820,182000,50,false,true,false
boss_whitealiendragon,Alpha Xenogard,dragon,8,990,99000,50,false,true,false
boss_volcanodragon,Alpha Moldron,fire|ground,8,750,75000,50,false,true,false
boss_volcanodragon_ice,Alpha Moldron Cryst,ice|ground,8,380,38000,50,false,true,false
boss_darkmechadragon,Alpha Xenolord,dark|dragon,8,400,40000,50,false,true,false
boss_ghostrabbit,Alpha Nitemary,dark,8,1230,123000,40,false,true,false
boss_ghostrabbit_grass,Alpha Nitemary Botan,grass,8,1320,132000,40,false,true,false
boss_nightbluehorse,Alpha Starryon,dark,8,1150,115000,50,false,true,false
boss_nightbluehorse_neutral,Alpha Starryon Primo,normal,8,430,43000,50,false,true,false
boss_whiteshielddragon,Alpha Silvegis,dragon,8,560,56000,50,false,true,false
boss_blackpuppy,Alpha Smokie,dark,5,1760,176000,50,false,true,false
boss_blackpuppy_ice,Alpha Smokie Cryst,dark|ice,5,1610,161000,50,false,true,false
boss_whitedeer,Alpha Celesdir,normal,8,570,57000,50,false,true,false
boss_whitedeer_dark,Alpha Celesdir Noct,dark,8,270,27000,50,false,true,false
boss_kingwhale,Alpha Panthalus,water,8,20,2000,50,false,true,false
boss_mysterymask,Alpha Omascul,dark,5,1140,114000,50,false,true,false
boss_hoodghost,Alpha Hoodle,dark,5,1770,177000,50,false,true,false
boss_sekhmet,Alpha Sekhmet,ground,8,870,87000,30,false,true,false
boss_eleclizard,Alpha Slowatt,electric,5,1750,175000,50,false,true,false
boss_grimgirl,Alpha Splatterina,dark,5,780,78000,38,false,true,false
boss_purplespider,Alpha Tarantriss,dark,5,1730,173000,50,false,true,false
boss_bluethunderhorse,Alpha Azurmane,electric,8,420,42000,50,false,true,false
boss_rockbeast,Alpha Pierdon,ground,8,1110,111000,50,false,true,false
boss_rockbeast_ice,Alpha Pierdon Cryst,ice,8,460,46000,50,false,true,false
boss_octopusgirl,Alpha Gloopie,water|dark,8,2530,253000,50,false,true,false
boss_octopusgirl_neutral,Alpha Gloopie Primo,water|normal,8,1630,163000,50,false,true,false
boss_icenarwhal,Alpha Whalaska,ice|water,8,710,71000,58,false,true,false
boss_jellyfishfairy,Alpha Jelliette,water,5,2650,265000,50,false,true,false
boss_berrygoat_dark,Alpha Caprity Noct,dark,5,1940,194000,50,false,true,false
boss_kitsunebi_ice,Alpha Foxparks Cryst,ice,5,2500,250000,50,false,true,false
boss_raijindaughter_water,Alpha Dazzi Noct,dark|electric,5,1910,191000,20,false,true,false
boss_snowtigerbeastman,Alpha Bastigor,ice,8,50,5000,60,false,true,false
boss_werewolf_ice,Alpha Loupmoon Cryst,ice,5,1290,129000,50,false,true,false
boss_whitetiger_ground,Alpha Cryolinx Terra,ground,8,470,47000,50,false,true,false
boss_horus_water,Alpha Faleris Aqua,water,8,450,45000,50,false,true,false
boss_fengyundeeper_electric,Alpha Fenglope Lux,electric,5,900,90000,50,false,true,false
boss_amaterasuwolf_dark,Alpha Kitsun Noct,dark,8,800,80000,50,false,true,false
boss_pinkrabbit_grass,Alpha Ribbuny Botan,grass,5,2460,246000,50,false,true,false
boss_snakegirl,Alpha Venusa,dark,8,970,97000,40,false,true,false
boss_ghostanglerfish,Alpha Ghangler,dark|water,8,880,88000,50,false,true,false
boss_icewitch,Alpha Icelyn,ice,5,1260,126000,50,false,true,false
boss_clownrabbit,Alpha Dupin,fire,8,520,52000,50,false,true,false
boss_legenddeer,Alpha Hartalis,normal,8,90,9000,50,false,true,false
boss_leafmomonga,Alpha Herbil,grass|normal,5,2630,263000,50,false,true,false
boss_smallyeti,Alpha Snugloo,ice,5,2390,239000,50,false,true,false
boss_icecrocodile,Alpha Munchill,ice|water,5,2130,213000,50,false,true,false
boss_cactusdoll,Alpha Needoll,grass,5,2420,242000,50,false,true,false
boss_cactusdoll_dark,Alpha Needoll Noct,dark|grass,5,1580,158000,50,false,true,false
boss_mushroomlady,Alpha Mycora,grass,8,760,76000,30,false,true,false
boss_stuffedshark,Alpha Finsider,water,5,2450,245000,50,false,true,false
boss_foxexorcist,Alpha Flaracle,fire,8,390,39000,50,false,true,false
boss_iceseal,Alpha Polapup,ice|water,8,1660,166000,50,false,true,false
boss_iceseal_ground,Alpha Polapup Terra,ice|ground,8,1100,110000,50,false,true,false
boss_cloverfairy,Alpha Clovee,grass|normal,5,2970,297000,50,false,true,false
boss_elecpomeranian,Alpha Puffolt,electric,5,2360,236000,50,false,true,false
boss_ghostblackcat,Alpha Wispaw,dark,8,2250,225000,50,false,true,false
boss_thiefbird,Alpha Roujay,dark,8,530,53000,60,false,true,false
boss_onighostgirl,Alpha Bakemi,dark,5,1540,154000,40,false,true,false
boss_plesiosaur,Alpha Braloha,grass|ground,8,1030,103000,50,false,true,false
boss_tropicalostrich,Alpha Palumba,grass,8,1240,124000,50,false,true,false
boss_grassgolem,Alpha Dualith,ground|grass,8,510,51000,50,false,true,false
boss_grassgolem_dark,Alpha Dualith Noct,ground|dark,8,250,25000,50,false,true,false
boss_snowpeafowl,Alpha Frostplume,ice,5,860,86000,50,false,true,false
boss_cubeturtle,Alpha Tetroise,ground,8,790,79000,50,false,true,false
boss_cubeturtle_neutral,Alpha Tetroise Primo,normal,8,200,20000,50,false,true,false
boss_longcat,Alpha Valentail,normal,5,1900,190000,50,false,true,false
boss_jellyfishghost,Alpha Jellroy,water|dark,5,2590,259000,50,false,true,false
boss_thunderfluffybird,Alpha Dynamoff,electric,8,1400,140000,50,false,true,false
boss_moonchild,Alpha Wistella,dark,5,1180,118000,50,false,true,false
boss_samuraidog,Alpha Pupperai,ground,5,2930,293000,50,false,true,false
boss_poseidonorca,Alpha Neptilius,water,8,160,16000,50,false,true,false
boss_swordcutlassfish,Alpha Skutlass,water,8,1420,142000,50,false,true,false
boss_swordcutlassfish_fire,Alpha Skutlass Ignis,water|fire,8,1590,159000,50,false,true,false
boss_negativeoctopus_neutral,Alpha Killamari Primo,normal|water,5,2540,254000,50,false,true,false
boss_penguin_electric,Alpha Pengullet Lux,water|electric,5,2490,249000,50,false,true,false
boss_captainpenguin_black,Alpha Penking Lux,water|electric,8,1850,185000,50,false,true,false
boss_flyingmanta_thunder,Alpha Celaray Lux,water|electric,5,2380,238000,50,false,true,false
boss_blueplatypus_fire,Alpha Fuack Ignis,water|fire,5,2300,230000,50,false,true,false
boss_lazycatfish_gold,Alpha Dumud Gild,ground|water,8,1620,162000,50,false,true,false
boss_tentacleturtle_ground,Alpha Turtacle Terra,water|ground,5,1330,133000,50,false,true,false
boss_kendofrog_dark,Alpha Croajiro Noct,water|dark,8,1860,186000,50,false,true,false
boss_bluedragon_ice,Alpha Azurobe Cryst,ice|dragon,8,1220,122000,50,false,true,false
boss_icenarwhal_fire,Alpha Whalaska Ignis,ice|fire,8,370,37000,42,false,true,false
boss_ghostanglerfish_fire,Alpha Ghangler Ignis,fire|water,8,720,72000,50,false,true,false
boss_stuffedshark_fire,Alpha Finsider Ignis,water|fire,5,2240,224000,50,false,true,false
boss_mummypal,Alpha Gildra,dark|ground,8,1170,117000,50,false,true,false
boss_kingsunfish,Alpha Solmora,water,5,1370,137000,50,false,true,false
boss_kingsunfish_thunder,Alpha Solmora Lux,water|electric,8,1000,100000,50,false,true,false
boss_monochromequeen,Alpha Solenne,dark|normal,8,280,28000,30,false,true,false
boss_elecsnail,Alpha Snock,electric,5,1780,178000,50,false,true,false
boss_elecsnail_ground,Alpha Snock Lux,electric|ground,5,1500,150000,50,false,true,false
boss_lanternbutler,Alpha Loomen,dark|fire,8,890,89000,50,false,true,false
boss_sumodog,Alpha Bulldosu,ground,5,1190,119000,50,false,true,false
boss_venusflytrap,Alpha Carnibora,grass,8,1700,170000,40,false,true,false
boss_fluffybird,Alpha Muffly,ice,5,2480,248000,50,false,true,false
boss_dandeliongirl,Alpha Souffline,grass,5,2000,200000,40,false,true,false
boss_clionetwins,Alpha Amione,water,5,2520,252000,40,false,true,false
boss_darkflamefox,Alpha Majex,dark|fire,8,1010,101000,40,false,true,false
boss_redflowerbird,Alpha Tropicaw,grass,8,1350,135000,50,false,true,false
boss_lotusdragon,Alpha Ophydia,grass|water,8,230,23000,50,false,true,false
boss_blueskydragon,Alpha Shaolong,dragon|water,8,40,4000,50,false,true,false
boss_pandagirl,Alpha Leafan,grass,8,1410,141000,40,false,true,false
boss_grassminotaur,Alpha Elgrove,grass,8,2020,202000,60,false,true,false
boss_grassminotaur_ice,Alpha Elgrove Cryst,ice,8,440,44000,60,false,true,false
boss_sleeverabbit,Alpha Lapure,normal,5,810,81000,40,false,true,false
boss_mothman,Alpha Silvance,grass,8,80,8000,50,false,true,false
boss_ghostdragon,Alpha Eidrolon,dragon|dark,8,300,30000,50,false,true,false
boss_ghostdragon_fire,Alpha Eidrolon Ignis,dragon|fire,8,140,14000,50,false,true,false
boss_flowerprince,Alpha Dandilord,grass|dark,8,60,6000,60,false,true,false
boss_worldtreedragon,Alpha Astralym,,8,10,1000,50,false,true,false
boss_kabukiman,Alpha Renjishi,fire,8,290,29000,60,false,true,false
boss_domearmordragon,Alpha Aegidron,dragon|ground,8,30,3000,50,false,true,false
brownrabbit,Lapiron,ground,3,1680,168000,50,true,false,false
goldenhorse,Gildane,ground,8,730,73000,50,true,false,false
tentacleturtle,Turtacle,water,3,2410,241000,50,true,false,false
tentacleturtle_ground,Turtacle Terra,water|ground,4,1330,577,50,true,false,false
anubis,Anubis,ground,10,480,48000,50,true,false,false
baphomet,Incineram,fire|dark,4,1470,147000,50,true,false,false
baphomet_dark,Incineram Noct,dark,5,1310,131000,50,true,false,false
bastet,Mau,dark,1,3040,304000,50,true,false,false
bastet_ice,Mau Cryst,ice,2,2750,275000,50,true,false,false
boar,Rushoar,ground,1,2880,288000,50,true,false,false
carbunclo,Lifmunk,grass,1,3020,302000,50,true,false,false
colorfulbird,Tocotoco,normal,1,2730,273000,50,true,false,false
deer,Eikthyrdeer,normal,5,2710,271000,50,true,false,false
deer_ground,Eikthyrdeer Terra,ground,6,2580,258000,50,true,false,false
drillgame,Digtoise,ground,5,1550,155000,50,true,false,false
eagle,Galeclaw,normal,2,2570,257000,50,true,false,false
elecpanda,Grizzbolt,electric,8,1020,102000,50,false,false,false
ganesha,Teafant,water,1,3070,307000,50,true,false,false
garm,Direhowl,normal,2,2680,268000,50,true,false,false
gorilla,Gorirat,normal,5,2140,214000,50,true,false,false
gorilla_ground,Gorirat Terra,ground,5,1880,188000,50,true,false,false
hedgehog,Jolthog,electric,1,3030,303000,50,true,false,false
hedgehog_ice,Jolthog Cryst,ice,2,2850,285000,50,true,false,false
kirin,Univolt,electric,5,2270,227000,50,true,false,false
kirin_ice,Univolt Cryst,ice,6,540,54000,50,true,false,false
kitsunebi,Foxparks,fire,1,2990,299000,50,true,false,false
littlebriarrose,Bristla,grass,1,2690,269000,50,true,false,false
mutant,Lunaris,normal,6,2010,201000,50,true,false,false
penguin,Pengullet,water|ice,1,2960,296000,50,true,false,false
penguin_electric,Pengullet Lux,water|electric,2,2490,572,50,true,false,false
raijindaughter,Dazzi,electric,2,2400,240000,20,true,false,false
sharkkid,Gobfin,water,2,2550,255000,50,true,false,false
sharkkid_fire,Gobfin Ignis,fire,3,2430,243000,50,true,false,false
sheepball,Lamball,normal,1,3050,305000,50,true,false,false
umihebi,Jormuntide,dragon|water,8,590,59000,50,true,false,false
umihebi_fire,Jormuntide Ignis,dragon|fire,9,170,17000,50,true,false,false
werewolf,Loupmoon,dark,3,2110,211000,50,true,false,false
windchimes,Hangyu,ground,1,2780,278000,50,true,false,false
windchimes_ice,Hangyu Cryst,ice,2,2510,251000,50,true,false,false
suzaku,Suzaku,fire,8,1200,120000,50,true,false,false
suzaku_water,Suzaku Aqua,water,9,740,74000,50,true,false,false
firekirin,Pyrin,fire,6,1980,198000,50,true,false,false
firekirin_dark,Pyrin Noct,fire|dark,7,1870,187000,50,true,false,false
fairydragon,Elphidran,dragon,7,2280,228000,50,true,false,false
fairydragon_water,Elphidran Aqua,dragon|water,8,1640,164000,50,true,false,false
sweetssheep,Woolipop,normal,3,2820,282000,50,true,false,false
sweetssheep_ground,Woolipop Terra,ground,4,2030,203000,50,true,false,false
whitetiger,Cryolinx,ice,7,1040,104000,50,true,false,false
alpaca,Melpaca,normal,3,2720,272000,50,true,false,false
serpent,Surfent,water,4,2440,244000,50,true,false,false
serpent_ground,Surfent Terra,ground,5,1840,184000,50,true,false,false
darkcrow,Cawgnito,dark,3,2370,237000,50,true,false,false
bluedragon,Azurobe,water|dragon,7,1830,183000,50,true,false,false
bluedragon_ice,Azurobe Cryst,ice|dragon,8,1220,578,50,true,false,false
pinkcat,Cattiva,normal,1,2760,276000,50,true,false,false
negativekoala,Depresso,dark,1,3000,300000,50,true,false,false
fengyundeeper,Fenglope,normal,3,1960,196000,50,true,false,false
